Epoch: [0][420/789]	Time 0.277 (0.274)	Data 0.000 (0.001)	reconst_logp -556.4519 (-1764.4372)	kl 1419.2565 (19174003479.6281)	Loss 570.6445 (191741781.4027)
Epoch: [0][430/789]	Time 0.277 (0.274)	Data 0.000 (0.001)	reconst_logp -490.1394 (-1736.0300)	kl 1444.0271 (18729131043.2269)	Loss 504.5797 (187293029.0452)
Epoch: [0][440/789]	Time 0.277 (0.275)	Data 0.000 (0.001)	reconst_logp -451.6136 (-1709.4026)	kl 1471.5911 (18304434228.2165)	Loss 466.3296 (183046034.6626)
Epoch: [0][450/789]	Time 0.279 (0.275)	Data 0.000 (0.001)	reconst_logp -435.6166 (-1682.7725)	kl 1511.3423 (17898570974.2713)	Loss 450.7301 (178987375.8705)
Epoch: [0][460/789]	Time 0.276 (0.275)	Data 0.000 (0.001)	reconst_logp -582.3003 (-1658.0761)	kl 1492.1270 (17510315669.8664)	Loss 597.2216 (175104798.4911)
Epoch: [0][470/789]	Time 0.279 (0.275)	Data 0.000 (0.001)	reconst_logp -447.5084 (-1632.9810)	kl 1477.7220 (17138546790.1349)	Loss 462.2856 (171387084.9444)
Epoch: [0][480/789]	Time 0.279 (0.275)	Data 0.000 (0.001)	reconst_logp -495.1820 (-1610.3377)	kl 1549.9246 (16782236076.2143)	Loss 510.6812 (167823955.4932)
Epoch: [0][490/789]	Time 0.276 (0.275)	Data 0.000 (0.001)	reconst_logp -647.9314 (-1589.4654)	kl 1415.3663 (16440439036.5398)	Loss 662.0851 (164405964.5421)
Epoch: [0][500/789]	Time 0.279 (0.275)	Data 0.000 (0.001)	reconst_logp -569.8633 (-1567.7790)	kl 1348.1055 (16112286589.3088)	Loss 583.3444 (161124418.6885)
Epoch: [0][510/789]	Time 0.278 (0.275)	Data 0.000 (0.001)	reconst_logp -468.0392 (-1547.0616)	kl 1461.9144 (15796977682.7567)	Loss 482.6583 (157971309.1989)
Epoch: [0][520/789]	Time 0.279 (0.275)	Data 0.000 (0.001)	reconst_logp -532.6292 (-1527.0928)	kl 1572.7300 (15493772764.6811)	Loss 548.3565 (154939240.3312)
Epoch: [0][530/789]	Time 0.278 (0.275)	Data 0.000 (0.001)	reconst_logp -506.0642 (-1509.3887)	kl 1479.8423 (15201987995.0626)	Loss 520.8626 (152021375.2023)
Epoch: [0][540/789]	Time 0.277 (0.275)	Data 0.000 (0.001)	reconst_logp -385.3293 (-1490.2462)	kl 1514.7096 (14920990092.8893)	Loss 400.4763 (149211377.2994)
Epoch: [0][550/789]	Time 0.275 (0.275)	Data 0.000 (0.001)	reconst_logp -462.0634 (-1471.7132)	kl 1346.0649 (14650191750.0838)	Loss 475.5241 (146503375.5902)
Epoch: [0][560/789]	Time 0.277 (0.275)	Data 0.000 (0.001)	reconst_logp -576.8850 (-1453.7821)	kl 1360.4971 (14389047537.5191)	Loss 590.4900 (143891915.7763)
Epoch: [0][570/789]	Time 0.277 (0.275)	Data 0.000 (0.001)	reconst_logp -454.0642 (-1437.1898)	kl 1344.7120 (14137050232.9044)	Loss 467.5113 (141371926.3722)
Epoch: [0][580/789]	Time 0.272 (0.275)	Data 0.000 (0.001)	reconst_logp -490.4209 (-1420.8926)	kl 1388.3391 (13893727534.4039)	Loss 504.3043 (138938683.3162)
Epoch: [0][590/789]	Time 0.275 (0.275)	Data 0.000 (0.001)	reconst_logp -523.8335 (-1405.0729)	kl 1396.0259 (13658639106.2202)	Loss 537.7938 (136587783.4333)
Epoch: [0][600/789]	Time 0.276 (0.275)	Data 0.000 (0.001)	reconst_logp -518.5947 (-1389.6542)	kl 1502.9404 (13431373920.7752)	Loss 533.6241 (134315116.3715)
Epoch: [0][610/789]	Time 0.276 (0.275)	Data 0.000 (0.001)	reconst_logp -383.6417 (-1374.3692)	kl 1495.0991 (13211547857.6582)	Loss 398.5927 (132116840.6598)
Epoch: [0][620/789]	Time 0.277 (0.275)	Data 0.000 (0.001)	reconst_logp -397.9768 (-1360.0357)	kl 1547.4584 (12998801538.6005)	Loss 413.4514 (129989363.3335)
Epoch: [0][630/789]	Time 0.280 (0.275)	Data 0.000 (0.001)	reconst_logp -433.8426 (-1346.3046)	kl 1450.0695 (12792798367.5884)	Loss 448.3433 (127929318.0839)
Epoch: [0][640/789]	Time 0.277 (0.275)	Data 0.000 (0.001)	reconst_logp -466.4170 (-1332.5600)	kl 1388.1309 (12593222753.2585)	Loss 480.2983 (125933548.3816)
Epoch: [0][650/789]	Time 0.277 (0.275)	Data 0.000 (0.001)	reconst_logp -369.2129 (-1318.7447)	kl 1572.3597 (12399778493.8906)	Loss 384.9365 (123999092.1525)
Epoch: [0][660/789]	Time 0.278 (0.276)	Data 0.000 (0.001)	reconst_logp -493.9141 (-1305.7687)	kl 1504.8452 (12212187313.1051)	Loss 508.9626 (122123167.5431)
Epoch: [0][670/789]	Time 0.277 (0.276)	Data 0.000 (0.001)	reconst_logp -436.9863 (-1292.7932)	kl 1434.6748 (12030187523.9610)	Loss 451.3331 (120303156.8454)
Epoch: [0][680/789]	Time 0.275 (0.276)	Data 0.000 (0.001)	reconst_logp -355.7953 (-1279.9911)	kl 1415.2246 (11853532809.6874)	Loss 369.9476 (118536597.0648)
Epoch: [0][690/789]	Time 0.279 (0.276)	Data 0.000 (0.001)	reconst_logp -499.6672 (-1267.6559)	kl 1464.6887 (11681991111.3558)	Loss 514.3141 (116821167.9058)
Epoch: [0][700/789]	Time 0.276 (0.276)	Data 0.000 (0.001)	reconst_logp -405.6086 (-1255.0400)	kl 1401.9906 (11515343613.0980)	Loss 419.6285 (115154680.4623)
Epoch: [0][710/789]	Time 0.278 (0.276)	Data 0.000 (0.001)	reconst_logp -460.0648 (-1243.5044)	kl 1431.3013 (11353383807.4062)	Loss 474.3779 (113535071.0205)
Epoch: [0][720/789]	Time 0.276 (0.276)	Data 0.000 (0.001)	reconst_logp -430.0148 (-1232.2552)	kl 1458.1901 (11195916645.3979)	Loss 444.5967 (111960388.2975)
Epoch: [0][730/789]	Time 0.279 (0.276)	Data 0.000 (0.001)	reconst_logp -365.6690 (-1221.2090)	kl 1393.3990 (11042757751.5255)	Loss 379.6030 (110428788.4551)
Epoch: [0][740/789]	Time 0.278 (0.276)	Data 0.000 (0.001)	reconst_logp -406.8954 (-1210.6194)	kl 1392.5123 (10893732699.9472)	Loss 420.8206 (108938527.4883)
Epoch: [0][750/789]	Time 0.280 (0.276)	Data 0.000 (0.001)	reconst_logp -432.1540 (-1200.0595)	kl 1609.4849 (10748676358.4287)	Loss 448.2489 (107487953.6481)
